RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq%,MSinceMostRecentInqexcl7days%,PercentBadTrades,RegularDelqFlag,HigherUtilizationDelqRisk
Good,87,353,12,109,17,,100,Unknown,7,8,17,0,12,InLast6Months,noInqueryMade,3,3,None,0,44,0.21739130434782608,0.6896551724137931,0,0,0
Good,75,154,5,76,16,,94,2years+,6,6,18,2,12,InLast6Months,OneOrTwo,42,4,unknown,1,50,0.6172839506172839,0.6896551724137931,12,0,0
Bad,84,220,3,94,37,,97,6-12months,6,6,37,3,30,6-12months,unknown,5,1,2,0,40,1.5625,2.7027027027027026,0,0,0
Bad,66,269,0,61,40,,98,2years+,6,6,46,4,17,Never,noInqueryMade,49,6,2,3,45,0.6172839506172839,0.23201856148491878,14,0,0
Bad,87,211,16,139,19,,95,6-12months,6,6,20,0,35,InLast6Months,OneOrTwo,3,2,None,0,33,1.5625,0.6896551724137931,5,0,0
Bad,63,229,1,111,42,OnceOrTwice,87,6-12months,4,5,48,2,30,Unknown,OneOrTwo,42,9,1,5,50,1.5625,0.4273504273504274,13,1,0
Bad,55,194,17,82,14,OnceOrTwice,69,InLast6Months,3,5,0,0,56,Unknown,unknown,88,5,1,3,88,0.7575757575757576,0.4273504273504274,13,1,1
Good,82,189,10,82,16,,100,Unknown,7,8,16,1,44,InLast6Months,noInqueryMade,12,2,1,0,44,0.21739130434782608,0.6896551724137931,0,0,0
Good,89,255,25,106,9,,100,Unknown,7,8,9,0,22,Never,noInqueryMade,2,2,None,0,100,0.21739130434782608,0.23201856148491878,0,0,0
Bad,84,212,11,82,13,,87,2years+,6,6,15,1,47,6-12months,unknown,5,1,None,0,67,0.6172839506172839,2.7027027027027026,14,1,0
Good,82,274,5,104,38,,100,Unknown,7,8,40,2,25,InLast6Months,OneOrTwo,29,5,None,1,60,0.21739130434782608,0.6896551724137931,5,0,0
Bad,76,177,3,53,28,,100,Unknown,7,8,29,4,64,Unknown,OneOrTwo,1,3,5OrMore,0,82,0.21739130434782608,0.4273504273504274,4,0,0
Bad,72,450,5,98,25,,85,InLast6Months,4,6,31,3,19,InLast6Months,unknown,6,4,None,0,43,0.7575757575757576,0.6896551724137931,20,1,0
Good,74,450,25,150,13,Never,93,LastYear,6,5,14,0,0,Unknown,unknown,51,3,unknown,1,33,1.0869565217391304,0.4273504273504274,8,0,0
Bad,85,209,5,85,21,,100,Unknown,7,8,21,1,57,Unknown,unknown,12,7,1,0,90,0.21739130434782608,0.4273504273504274,0,0,0
Good,56,274,3,95,43,,89,Never,4,6,44,4,23,Never,noInqueryMade,58,10,5OrMore,5,72,14.285714285714285,0.23201856148491878,3,1,1
Good,84,170,18,86,19,,100,Unknown,7,8,22,0,32,InLast6Months,noInqueryMade,28,2,None,0,50,0.21739130434782608,0.6896551724137931,14,0,0
Bad,77,235,3,75,21,,100,Unknown,7,8,21,2,29,Unknown,noInqueryMade,36,3,1,0,67,0.21739130434782608,0.4273504273504274,0,0,0
Bad,70,391,6,66,17,OnceOrTwice,100,Unknown,7,8,37,3,41,Unknown,noInqueryMade,1,1,1,0,71,0.21739130434782608,0.4273504273504274,55,0,0
Good,60,154,5,76,35,OnceOrTwice,82,InLast6Months,4,4,38,3,34,InLast6Months,noInqueryMade,26,6,1,2,89,0.7575757575757576,0.6896551724137931,8,1,0
Good,73,209,11,84,22,Never,87,2years+,6,5,23,1,43,Never,noInqueryMade,6,2,1,1,31,0.6172839506172839,0.23201856148491878,5,1,0
Bad,64,165,1,71,15,Never,83,InLast6Months,4,3,20,2,33,Unknown,OneOrTwo,57,4,None,2,45,0.7575757575757576,0.4273504273504274,25,1,1
Bad,64,152,3,80,31,,94,InLast6Months,4,6,42,2,22,6-12months,unknown,18,6,None,1,50,0.7575757575757576,2.7027027027027026,27,0,0
Good,72,345,8,88,53,Never,98,2years+,0,6,52,2,24,InLast6Months,unknown,10,3,3,0,67,0.6172839506172839,0.6896551724137931,-1,0,0
Good,70,110,3,58,32,OnceOrTwice,86,2years+,6,3,36,3,40,LastYear,unknown,44,6,5OrMore,2,93,0.6172839506172839,2.380952380952381,12,1,0
Bad,72,171,3,68,21,,96,2years+,6,6,24,4,33,Never,UpTo5,36,4,1,1,67,0.6172839506172839,0.23201856148491878,13,0,0
Bad,84,362,11,114,33,,97,LastYear,6,6,35,1,40,Never,OneOrTwo,1,2,1,0,36,1.0869565217391304,0.23201856148491878,6,0,0
Good,87,270,15,98,29,,100,Unknown,7,8,29,0,7,InLast6Months,unknown,0,0,unknown,0,0,0.21739130434782608,0.6896551724137931,0,0,0
Good,89,245,25,150,2,,100,Unknown,7,8,37,0,0,LastYear,unknown,3,1,unknown,0,50,0.21739130434782608,2.380952380952381,95,0,0
Good,74,199,1,47,31,,100,Unknown,7,8,33,5,27,Never,OneOrTwo,17,4,2,1,54,0.21739130434782608,0.23201856148491878,7,0,0
Good,71,160,4,68,31,,100,Unknown,7,8,31,3,35,InLastMonth,noInqueryMade,61,5,2,1,80,0.21739130434782608,1.8181818181818181,0,0,1
Good,86,340,4,71,27,,100,Unknown,7,8,35,2,19,InLast6Months,noInqueryMade,14,8,None,0,75,0.21739130434782608,0.6896551724137931,23,0,0
Bad,57,331,11,117,16,,82,InLast6Months,4,6,17,1,53,Never,unknown,60,6,1,3,100,0.7575757575757576,0.23201856148491878,6,1,1
Bad,76,130,2,72,13,,93,InLast6Months,4,6,14,1,43,Unknown,unknown,21,2,None,0,60,0.7575757575757576,0.4273504273504274,8,0,0
Good,63,263,1,84,33,Never,86,InLast6Months,4,2,35,3,34,Never,noInqueryMade,36,8,2,3,59,0.7575757575757576,0.23201856148491878,6,1,0
Bad,72,171,3,40,11,,100,Unknown,7,8,11,4,27,Never,OneOrTwo,62,5,1,2,88,0.21739130434782608,0.23201856148491878,0,0,1
Good,72,197,4,64,24,,100,Unknown,7,8,24,2,33,InLast6Months,noInqueryMade,25,8,2,2,65,0.21739130434782608,0.6896551724137931,0,0,0
Bad,69,41,9,27,3,Never,75,2years+,6,2,4,1,0,Unknown,unknown,24,1,unknown,0,100,0.6172839506172839,0.4273504273504274,25,1,0
Good,69,194,3,128,25,Never,100,Unknown,6,8,26,3,23,Unknown,noInqueryMade,45,3,2,1,50,0.21739130434782608,0.4273504273504274,4,0,0
Good,81,194,8,31,10,,100,Unknown,7,8,11,2,18,Never,noInqueryMade,0,0,None,0,13,0.21739130434782608,0.23201856148491878,10,0,0
Bad,58,78,9,33,8,OnceOrTwice,100,Unknown,6,8,9,2,44,Never,noInqueryMade,87,2,3,1,100,0.21739130434782608,0.23201856148491878,12,0,1
Good,72,181,11,77,22,,96,6-12months,4,6,23,1,48,Never,UpTo5,31,3,3,0,78,1.5625,0.23201856148491878,5,0,0
Good,89,286,25,111,19,,100,Unknown,7,8,19,0,47,Unknown,unknown,6,1,2,0,63,0.21739130434782608,0.4273504273504274,0,0,0
Bad,80,194,9,96,20,,100,Unknown,7,8,21,1,30,Unknown,noInqueryMade,16,5,None,0,55,0.21739130434782608,0.4273504273504274,5,0,0
Good,80,450,25,150,33,,97,Unknown,5,7,33,0,21,LastYear,unknown,47,10,1,2,67,0.21739130434782608,2.380952380952381,0,0,0
Bad,58,138,15,65,9,3-5,60,LastYear,6,2,17,0,60,Never,unknown,38,3,None,0,80,1.0869565217391304,0.23201856148491878,48,1,0
Bad,66,184,10,112,15,Never,56,InLast6Months,4,5,43,1,28,Unknown,unknown,58,5,1,1,70,0.7575757575757576,0.4273504273504274,66,1,1
Bad,62,174,2,84,35,,89,2years+,5,6,38,3,32,Never,noInqueryMade,68,9,1,3,85,0.6172839506172839,0.23201856148491878,8,1,1
Good,89,404,25,150,7,,100,Unknown,7,8,8,0,38,Unknown,unknown,0,1,unknown,0,33,0.21739130434782608,0.4273504273504274,13,0,0
Bad,60,53,14,32,5,OnceOrTwice,71,LastYear,6,2,7,0,57,InLast6Months,UpTo5,4,1,None,0,67,1.0869565217391304,0.6896551724137931,29,1,0
Good,79,450,3,88,45,,100,Unknown,7,8,46,5,20,InLast6Months,noInqueryMade,12,3,1,0,56,0.21739130434782608,0.6896551724137931,3,0,0
Bad,64,246,1,84,43,Never,100,Unknown,0,8,45,6,27,Never,UpTo5,49,10,2,4,63,0.21739130434782608,0.23201856148491878,5,0,0
Bad,59,225,2,73,52,,98,6-12months,4,6,54,6,54,Never,UpTo5,45,7,2,2,83,1.5625,0.23201856148491878,4,0,0
Good,64,281,13,91,53,OnceOrTwice,93,InLast6Months,4,3,55,0,32,InLast6Months,OneOrTwo,35,4,2,2,41,0.7575757575757576,0.6896551724137931,4,0,0
Bad,69,148,4,66,41,,100,Unknown,7,8,41,4,10,Unknown,noInqueryMade,32,7,2,1,50,0.21739130434782608,0.4273504273504274,0,0,0
Good,75,104,2,34,17,,100,Unknown,7,8,18,3,28,Never,OneOrTwo,15,3,2,1,46,0.21739130434782608,0.23201856148491878,6,0,0
Good,71,194,4,43,15,,93,2years+,6,6,15,1,53,Unknown,OneOrTwo,44,3,2,0,75,0.6172839506172839,0.4273504273504274,0,0,0
Bad,73,139,16,61,14,,100,Unknown,7,8,14,0,14,Never,OneOrTwo,59,6,None,2,78,0.21739130434782608,0.23201856148491878,0,0,1
Bad,84,158,6,83,5,,100,Unknown,7,8,5,2,20,Never,unknown,41,1,None,0,67,0.21739130434782608,0.23201856148491878,0,0,0
